카드이름,할인내용2,할인율2(%),할인내용3,할인율3(%),할인내용4,할인율4(%),할인내용5,할인율5(%),할인내용6,할인율6(%),할인내용7,할인율7(%),할인내용8,할인율8(%),할인내용9,할인율9(%)
현대카드 MX Black,모든 가맹점 1% M포인트 기본 적립MX Black Zone,10.0,,,,,,,,,,,,,모든 가맹점 1% M포인트 기본 적립MX Black Zone,10.0
NH올원 쇼핑&TLC카드,,,"에버랜드,롯데월드,서울랜드",50.0,"스타벅스, 이디야",10.0,,,,,,,,,,
NH농협 올바른OIL카드,,,스타벅스/이디야,10.0,"CU, GS25",5.0,"버스,지하철,택시",5.0,카카오T대리,10.0,,,,,,
카드의정석 APT,,,유튜브 프리미엄 정기권 30%청구할인넷플릭스 정기권,30.0,,,,,,,,,,,,
THE iD. TITANIUM (포인트),,,,,,,,,,,,,,,,
NH농협 쏠쏠카드(SolSol),종합스포츠센터/요가,12.0,반려동물 업종,12.0,CGV,10.0,"스타벅스, 이디야 10% 청구할인주요 베이커리",10.0,주요 편의점,5.0,"SK에너지, NH오일",5.0,버스/지하철,5.0,종합스포츠센터/요가,12.0
신한카드 YOLOⓘ,신규 고객 연회비,100.0,택시 이용금액 최대,20.0,"CGV, 롯데시네마 최대",20.0,CU·GS25·세븐일레븐 최대,20.0,티몬·쿠팡 최대,20.0,스타벅스·커피빈 최대 20% 할인파리바게뜨·뚜레쥬르 최대,20.0,,,신규 고객 연회비,100.0
신한카드 핏(Fit),신규 고객 연회비,100.0,영역별 5회 이용 시 마다 스탬프적립모든 영역 스탬프 적립 시 추가포인트Flex 영역,10.0,,,,,,,,,,,신규 고객 연회비,100.0
CLUB PREMIER 카드 [Travel],국내 6대 저가항공,50.0,국내 면세점 업종,20.0,택시 업종,20.0,"스타벅스, 커피빈",20.0,,,,,,,국내 6대 저가항공,50.0
Mile 1.6 대한항공,,,,,,,,,,,,,,,,
SK매직 하나카드,,,대형마트 이용금액,3.0,커피빈,10.0,,,,,,,,,,
I’m WONDERFUL PLUS 카드,,,,,,,,,,,,,,,,
LOCA MONEY (로카 머니),"국내외 가맹점에서한도 제한 없이 로카로인 적립기본적립 1%, 특별적립",2.0,LOCA 카드 온라인신청 특별혜택신규회원 연회비,100.0,,,,,,,,,,,"국내외 가맹점에서한도 제한 없이 로카로인 적립기본적립 1%, 특별적립",2.0
CU·배달의민족 삼성카드 taptap,,,,,,,,,,,,,,,,
NU Biz,BASIC – 0.5% 포인트 적립OWNER -,5.0,OPERATION,5.0,,,,,,,,,,,BASIC – 0.5% 포인트 적립OWNER -,5.0
현대카드 대한항공카드 the First,,,,,,,,,슈퍼콘서트,20.0,,,,,,
현대백화점 FIT카드,현대백화점,5.0,,,,,,,,,,,,,현대백화점,5.0
쿠쿠 프리멤버쉽 하나카드,,,"이마트, 홈플러스, 롯데마트",3.0,커피빈 이용금액,10.0,,,,,,,,,,
L.CLASS L60카드(L.POINT형),L.POINT,1.0,,,,,,,,,,,,,L.POINT,1.0
카드의정석 댕댕냥이,온라인 신규 연회비,100.0,온라인 쇼핑 10% 청구할인오프라인 쇼핑,10.0,4대 PAY,5.0,해외 이용금액,1.0,,,"스타벅스, 폴바셋",10.0,,,온라인 신규 연회비,100.0
신한카드 Air One,,,,,,,,,,,,,,,,
CLUB Primus Skypass,,,,,호텔 식음매장,10.0,H패션몰(온라인),20.0,택시,10.0,,,,,,
NH20 해봄카드,,,[놀이해봄]전국 놀이공원 최대,50.0,"온라인 쇼핑몰 10% 청구할인어플리케이션 2,000원 청구할인해외 전가맹점 이용금액",2.0,"온라인서점, 어학시험",10.0,,,,,스타벅스/이디야 커피,30.0,,
그랑블루 1st,,,,,,,,,,,,,,,,
신한카드 B.Big(삑),신규 고객 연회비,100.0,"버스, 지하철 일 최대 600원 할인택시, KTX 이용금액",10.0,편의점 이용금액,5.0,롯데·현대·신세계·갤러리아,5.0,,,"전기요금, 통신요금",5.0,"SKT,KT,LG 자동이체",5.0,신규 고객 연회비,100.0
모두의 건강,저녁식사,5.0,대형마트,5.0,커피,5.0,온라인,5.0,골프/레저,5.0,병원,5.0,,,저녁식사,5.0
Diners Club MILEAGE,,,,,,,,,,,,,,,,
신한카드 Deep Once Plus,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
삼성카앤모아카드,,,,,CGV 동반 1인,50.0,,,,,,,,,,
신한카드 구독 좋아요,디지털 구독 이용금액,100.0,디지털 구독 이용금액 100% 할인생활서비스,10.0,,,,,생활서비스,10.0,생활서비스,10.0,생활서비스,10.0,디지털 구독 이용금액,100.0
현대카드 대한항공카드 070,,,,,,,,,,,,,슈퍼콘서트,20.0,,
ALL MY LIVING 카드,월납 생활비,5.0,일상 생활비,5.0,주말 생활비,5.0,월납 생활비,5.0,일상 생활비,5.0,월납 생활비,5.0,일상 생활비,5.0,월납 생활비,5.0
NH농협 올바른POINT UP+ 카드,,,,,,,,,,,,,,,,
신한카드 Deep Once,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
NH농협 콕카드,"B - 도시형 카드 혜택버스,지하철등 대중교통",10.0,B - 도시형 카드 혜택주요 커피전문점,10.0,,,A - 농촌형 카드 혜택주유소,10.0,"A, B형 통합 서비스주요 이동통신",10.0,B - 도시형 카드 혜택대형마트,10.0,A - 농촌형 카드 혜택 병의원 및 약국,10.0,"B - 도시형 카드 혜택버스,지하철등 대중교통",10.0
NH농협 온플래티늄(ON Platinum)카드(포인트),,,,,,,,,,,,,,,,
KB국민 U+ 알뜰모바일카드,,,,,,,,,,,,,,,,
신한카드 알뜰More(알뜰모아),,,,,,,,,,,,,,,,
IBK i-ALL 카드,,,,,,,,,,,,,,,,
신한카드 Unboxing,신규 고객 연회비,100.0,쇼핑,10.0,"이마트, 홈플러스, 롯데마트대형마트 이용금액",10.0,"CU, GS25, 세븐일레븐 편의점 이용금액",10.0,카페노티드,10.0,,,,,신규 고객 연회비,100.0
NH농협 올바른NEW HAVE 카드,,,,,,,,,,,,,,,,
기업은행 Oil & Life카드(Life),,,,,"캐리비안베이, 롯데월드, 에버랜드 등전국 놀이공원 최대",50.0,"통신사3사 SKT, KT, LGT휴대폰 이용금액",3.0,외식/커피 업종,10.0,,,,,,
삼성카드 taptap I,,,,,해외·여행 3% 할인 (해외겸용)여행,3.0,10대 커피전문점·제과점,30.0,,,"마켓컬리, 음식점 20% 할인슈퍼마켓·아울렛·백화점 등",3.0,,,,
NH농협 올바른BAZIC+ 카드,,,,,,,,,,,,,,,,
모두의 쇼핑,온라인쇼핑 10% 적립아울렛 쇼핑,5.0,"이마트,홈플러스,롯데마트 5% 적립신세계,롯데,현대 백화점 5% 적립이케아",5.0,,,,,,,,,,,온라인쇼핑 10% 적립아울렛 쇼핑,5.0
LOCA LIKIT Play,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,LOCA LIKIT Play로영화관,60.0,LOCA LIKIT Play로스트리밍,60.0,LOCA LIKIT Play로쇼핑 멤버십,60.0,LOCA LIKIT Play로주유소,60.0,,,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
IKEA Family with 신한카드,IKEA 매장 10% 결제일 할인IKEA 푸드 15% 결제일 할인롯데·현대·신세계백화점 5% 할인프리미엄 아울렛,5.0,이마트·홈플러스·롯데마트,5.0,GS25·CU·세븐일레븐,5.0,롯데시네마·CGV,5.0,이디야·스타벅스,5.0,이동통신요금,5.0,,,IKEA 매장 10% 결제일 할인IKEA 푸드 15% 결제일 할인롯데·현대·신세계백화점 5% 할인프리미엄 아울렛,5.0
아메리칸 엑스프레스 블루,편의점,7.0,배달앱,7.0,교통,5.0,통신,5.0,,,,,스타벅스·이디야커피,20.0,편의점,7.0
신한카드 Deep Making,신규 고객 연회비,100.0,혜택에 맞춰 총 포인트 적립,17.0,스타벅스·커피빈 등 최대 5% 적립베이커리 최대,5.0,항공권 결제 최대 5% 적립해외 일시불 결제 최대,5.0,통신사 자동이체 최대,5.0,GS25·CU 등 최대,5.0,주유소·충전소 최대,5.0,신규 고객 연회비,100.0
신한카드 플리,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
하나 BC 그린카드 [전국형],,,,,"버스, 지하철 10%~20% 적립KTX, 고속버스",5.0,,,,,,,,,,
L.CLASS L60 카드 (아시아나클럽형),,,,,,,,,,,,,,,,
아메리칸 엑스프레스 리저브,,,국내외가맹점 1% 멤버십리워즈 적립온라인쇼핑·해외 추가,4.0,배달의민족·쉐이크쉑·써브웨이 등Food 영역,30.0,스타벅스·커피빈·블루보틀 등Coffee 영역,30.0,CGV·넷플릭스·웨이브 등Movie 영역,30.0,,,,,,
NH농협 올바른BAZIC 카드,,,,,,,,,,,,,,,,
홈플러스 삼성카드,홈플러스 최대,5.0,의료비,5.0,,,,,,,,,,,홈플러스 최대,5.0
요기요 삼성카드,요기요 최대,10.0,커피전문점,5.0,편의점,5.0,생활잡화,5.0,스트리밍,10.0,,,,,요기요 최대,10.0
신한카드 Puzzle,신규 고객 연회비,100.0,,,,,"멜론, 넷플릭스, 유튜브 20% 적립패스트캠퍼스, 클래스101",20.0,"로켓와우, 플러스멤버십 20% 적립쿠팡, 무신사, 마켓컬리 10% 적립반려동물 용품샵",20.0,"배민,요기요,쿠팡이츠",5.0,4대 주유소 10% 적립전기차 충전소,30.0,신규 고객 연회비,100.0
NH농협 올바른OIL&PASS 카드,전국주유소/LPG충전소,5.0,,,버스/지하철/택시/철도,7.0,,,,,,,,,전국주유소/LPG충전소,5.0
Smart Any (스마트애니),,,,,,,,,,,,,,,,
신한카드 B.Big(마이펫 스노우볼),"버스, 지하철 일 최대 600원 할인택시, KTX 이용금액",10.0,롯데·현대·신세계·갤러리아,5.0,편의점 이용금액,5.0,스타벅스/커피빈 등 카페,10.0,,,"전기요금, 통신요금",5.0,"SKT,KT,LG 자동이체",5.0,"버스, 지하철 일 최대 600원 할인택시, KTX 이용금액",10.0
NH농협 위카드,,,,,,,,,,,,,,,,
New PAYCO 롯데카드,PAYCO 가맹점에서PAYCO로 결제 시 최대,3.0,,,,,,,,,,,,,PAYCO 가맹점에서PAYCO로 결제 시 최대,3.0
I’m Powerful 카드,"종합병원, 일반병원, 한방병원최대",2.0,슈퍼 최대,2.0,커피전문점 최대,2.0,편의점 최대,2.0,"SKT, KT, LG U+이동통신요금 최대",5.0,"지하철, 시내버스 최대",5.0,,,"종합병원, 일반병원, 한방병원최대",2.0
삼성 iD NOMAD 카드,,,국내외 가맹점 최대,2.0,,,디지털콘텐츠,50.0,멤버십,50.0,,,쉐이크쉑/써브웨이,30.0,,
NH농협 SKYPASS카드,,,,,,,,,,,국내외 여행패키지 3~5% 현장할인금강산콘도미니엄,77.0,,,,
NH농협 올바른하나로(Hanaro) 카드,농협판매장 이용시,5.0,전국 병의원 및 약국 최대,5.0,대중교통,3.0,베이커리/커피,3.0,편의점,3.0,온라인서점,3.0,영화 예매,3.0,농협판매장 이용시,5.0
신한카드 Deep Taking,신규 고객 연회비,100.0,잘쓰는 혜택에 맞춰 최대,10.0,요기요·배달의민족,2.0,통신사 자동이체,2.0,"GS25,CU",2.0,주유소·충전소,2.0,스타벅스·커피빈 등 2% 적립 가능베이커리,2.0,신규 고객 연회비,100.0
NH올원 Rental&바디프랜드카드,,,,,,,,,,,,,,,,
NH농협 올바른MYPICK 카드,[기본서비스]전세계스타벅스/국내 카페 5%청구할인[FOOD PACK]베이커리,5.0,"[기본서비스]전국 택시, 대중교통",5.0,[FOOD PACK]전세계 음식점,5.0,[FOOD PACK]편의점,5.0,[기본서비스]해외 전가맹점 5% 청구할인[SHOPPING PACK]온/오프라인 쇼핑 5% 청구할인[SHOPPING PACK]국내 면세점,5.0,"[SHOPPING PACK]전국 서점 5% 청구할인[HEALTH&BEAUTY PACK]스포츠 경기,공연 예매",5.0,[TRAVEL PACK]전국주유소/LPG충전소,5.0,[기본서비스]전세계스타벅스/국내 카페 5%청구할인[FOOD PACK]베이커리,5.0
KB국민 KB Pay 챌린지카드,온라인신규신청 연회비,100.0,,,,,,,,,,,,,온라인신규신청 연회비,100.0
IBK I-알뜰교통플러스,,,,,,,,,,,,,,,,
1Q Global VIVA (원큐 글로벌 비바),,,,,,,,,,,,,,,,
신한카드 D-day,신규 고객 연회비,100.0,월요일~수요일 편의점 최대,5.0,목요일 영화 예매 최대,5.0,,,토요일 뷰티 가맹점 최대,5.0,일요일 온라인쇼핑 최대,5.0,버스/지하철 이용금액 최대,5.0,신규 고객 연회비,100.0
KB국민 에버랜드 판다카드,에버랜드 50% 캐리비안베이 30% 연간회원권 10% 기념품 매장,20.0,,,주요 패밀리레스토랑,20.0,,,,,,,,,에버랜드 50% 캐리비안베이 30% 연간회원권 10% 기념품 매장,20.0
카드의정석L.POINT,,,영화관 L.POINT,3.0,외식 L.POINT,3.0,카페 L.POINT,3.0,이동통신 L.POINT,3.0,대중교통 L.POINT,3.0,전기차충전 L.POINT 3%특별적립주유 L.POINT,1.0,,
I’m ACTIVE 카드,"병원, 운동, 건강식품, 보험료 등건강 관련 업종에서",5.0,월 이용금액 TOP3 그룹 자동으로,5.0,,,,,,,,,,,"병원, 운동, 건강식품, 보험료 등건강 관련 업종에서",5.0
CLUB PREMIER 카드 [Hotel],국내 특급호텔,50.0,,,택시,20.0,"스타벅스, 커피빈",20.0,,,,,,,국내 특급호텔,50.0
I-나눔카드(일반),,,,,,,,,,,,,,,,
미래에셋 현대카드 Diamond,업종별 최대,5.0,,,,,,,면세점 최대 5% 특별적립백화점 최대 3% 특별적립프리미엄아울렛 최대,3.0,특급호텔 최대 5% 특별적립여행/항공 최대 5% 특별적립골프장/골프연습장 최대,5.0,,,업종별 최대,5.0
E1 LPG KB국민카드,,,"골프장, 골프연습장",10.0,인터넷쇼핑몰/소셜,10.0,아웃백/빕스/TGIF,10.0,CGV,10.0,버스/지하철,10.0,,,,
Diners Club POINT,국내 가맹점 1% 기본적립국내 가맹점 추가 적립해외 전가맹점/면세점,2.0,,,,,,,,,,,,,국내 가맹점 1% 기본적립국내 가맹점 추가 적립해외 전가맹점/면세점,2.0
청호나이스 플러스 하나카드,,,"이마트, 홈플러스, 롯데마트",3.0,커피빈 이용금액,10.0,,,,,,,,,,
Deep Dream Platinum+ (미니언즈),제주항공·에어부산,10.0,적립한도 없이０.7~1.1% 기본적립DREAM영역 이용시 최대5.5%적립해외 이용금액,10.0,,,,,,,,,,,제주항공·에어부산,10.0
LOCA 환승 카드,,,,,,,,,,,,,,,,
신한카드 YaY,온라인 신규회원 연회비,100.0,,,"넷플릭스, 왓챠 플레이 등",30.0,"배민, 요기요 등 최대",30.0,"온라인쇼핑 월 최대 12,500P적립오늘의집, 런드리고 10% 적립앱마켓, NC소프트 등",10.0,스타벅스 사이렌오더 10%적립와인앤모어,10.0,,,온라인 신규회원 연회비,100.0
신한카드 Deep Store,신규 고객 연회비,100.0,생활쇼핑 최대,15.0,3대 할인점 주말 10% 할인복합쇼핑몰 주말,10.0,,,,,커피전문점/제과점 업종,10.0,,,신규 고객 연회비,100.0
나무 NH농협카드,,,,,,,,,,,,,,,,
현대백화점카드,,,,,,,,,,,,,,,,
11번가 신한카드,이용금액0.5% SK pay포인트적립SK pay 이용금액 특별적립,1.0,,,,,,,,,,,,,이용금액0.5% SK pay포인트적립SK pay 이용금액 특별적립,1.0
NH농협 올바른NEW HAVE+ 카드,,,,,,,,,,,,,,,,
NH농협 SOHO 다사로이카드,4대사회보험·전기요금,5.0,,,,,,,,,,,,,4대사회보험·전기요금,5.0
바디프랜드 하나카드,,,"이마트, 홈플러스, 롯데마트",3.0,커피빈 이용금액,10.0,,,,,,,,,,
L.PAY 신한카드,국내/해외 이용금액 0.1% 적립롯데 더드림영역 최대,7.0,롯데 더드림영역에서 최대,7.0,"롯데마트, 롯데슈퍼 최대",7.0,,,"롯데면세점, 롯데호텔 최대",7.0,세븐일레븐 이용금액 최대,7.0,후불교통 및 택시 이용금액,1.0,국내/해외 이용금액 0.1% 적립롯데 더드림영역 최대,7.0
신한카드 EVerywhere,전기차 충전요금의,20.0,디지털 구독,20.0,이동통신,5.0,편의점,5.0,베이커리〮커피전문점,5.0,,,,,전기차 충전요금의,20.0
티머니 Pay & GO 신한카드,티머니페이앱 대중교통 30%결제일할인티머니GO앱,20.0,4대 백화점,5.0,5대 편의점,5.0,이동통신요금 자동이체,5.0,커피전문점,5.0,,,,,티머니페이앱 대중교통 30%결제일할인티머니GO앱,20.0
I’m DRIVING 카드,,,저녁 음식점,5.0,드라이버를 위한,5.0,"엔진오일 교환 연1회자동차 보험 할인 연 1회주차장,세차장,대리운전",5.0,,,,,,,,
NH농협 위 레아카드(포인트),"기본 적립 : 국내 1%, 해외 2%추가 적립 : 국내 특별 가맹점",2.0,,,,,,,,,,,,,"기본 적립 : 국내 1%, 해외 2%추가 적립 : 국내 특별 가맹점",2.0
GS리테일 NH농협카드,GS리테일 이용시,2.0,국내 이용금액 1% NH포인트적립국외 이용금액,2.0,,,,,,,,,,,GS리테일 이용시,2.0
신한카드 봄,,,,,,,,,,,,,,,,
롤라카드,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,SK주유소 롤라머니,1.0,"롯데마트, 롯데빅마켓, 롯데슈퍼에서 롤라카드로 결제하고롤라머니",7.0,엔젤리너스에서 롤라카드로 결제하고롤라머니,7.0,"테마파크,호텔에서 롤라카드로 결제하고롤라머니",7.0,"롯데리아, T.G.I.F에서롤라카드로 결제하고롤라머니",7.0,롯데시네마에서 롤라카드로 결제하고롤라머니,7.0,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
땡겨요 신한카드,땡겨요앱 이용금액 포인트,10.0,편의점 이용금액 포인트,5.0,,,,,,,,,,,땡겨요앱 이용금액 포인트,10.0
미래에셋 현대카드 Gold,업종별 최대,3.0,,,,,,,백화점 최대 3% 특별적립프리미엄 아울렛 최대 3% 특별적립온라인쇼핑 최대,2.0,커피전문점 최대,2.0,배달 앱 최대,2.0,업종별 최대,3.0
NH농협 위 테라카드(포인트),"기본적립 : 국내 1%,해외",2.0,,,,,,,,,,,,,"기본적립 : 국내 1%,해외",2.0
New 제주항공 하나카드,,,,,,,,,,,,,,,,
Coffee Bean 신용카드,,,편의점,5.0,약국,5.0,패밀리레스토랑  5% 청구 할인패스트푸드,5.0,주유소·충전소,5.0,학원,5.0,골프·골프연습장,5.0,,
NH농협 올바른지구카드,버스/지하철/택시/철도 7% 청구할인공유모빌리티 7% 청구할인전기차 충전,7.0,이동통신요금,5.0,오픈마켓/배달앱,5.0,스포츠 매장,5.0,H&B매장,5.0,,,,,버스/지하철/택시/철도 7% 청구할인공유모빌리티 7% 청구할인전기차 충전,7.0
LFmall 신용카드, LFmall 이용 시,5.0,,,,,,,,,,,,, LFmall 이용 시,5.0
교원 웰스 KB국민카드,,,패밀리레스토랑,20.0,,,"롯데월드,에버랜드 50% 현장할인캐리비안베이",30.0,,,,,,,,
기업은행 참! 좋은 다이소카드,"다이소매장 30%할인쿠팡, 티몬, 위메프",20.0,"미용실 이용시, 20% 청구할인 주 편의점·올리브영",10.0,"스타벅스, 커피빈, 할리스, 투썸 등주요 카페",20.0,,,"이마트, 홈플러스, 롯데마트농협하나로클럽, 대형마트",5.0,,,,,"다이소매장 30%할인쿠팡, 티몬, 위메프",20.0
우리카드 WON DISCOUNT AIR,,,"멜론, 넷플릭스 정기결제",10.0,배달의민족 이용금액,10.0,스타벅스 사이렌오더,10.0,전기차 충전,10.0,대중교통 이용금액,5.0,이동통신 요금,5.0,,
KB국민 Green Wave 1.5℃ 카드,온라인신규신청 연회비,100.0,"따릉이, 킥고잉등",20.0,전기/수소차 충전,10.0,"버스/지하철, 철도",10.0,,,굿윌스토어 이용시 포인트리 1천점적립친환경 마켓 20% 포인트리 적립업사이클링 제품 10% 포인트리 적립트리플래닛,10.0,,,온라인신규신청 연회비,100.0
NH농협 LCC UniMile 카드,,,생활 할인 서비스이동통신 자동이체 요금,3.0,생활 할인 서비스택시요금,3.0,,,,,,,,,,
NH농협 올바른Edu카드,"유치원, 학원, 학습지",5.0,,,,,,,,,,,,,"유치원, 학원, 학습지",5.0
미래에셋 현대카드 Silver,적립한도 없이 업종별 최대,2.0,,,온라인 쇼핑 최대,2.0,커피전문점 최대,2.0,배달 앱 최대,2.0,편의점 최대,2.0,디지털 콘텐츠 최대,2.0,적립한도 없이 업종별 최대,2.0
KB국민 위메프페이 신용카드,"위메프 2%, 위메프오",1.0,카페 이용 시 위메프포인트,5.0,,,맥도날드 등 위메프포인트 5% 적립패밀리레스토랑 위메프포인트,5.0,미용실 이용 시 위메프포인트,5.0,골프·골프연습장 이용 시 위메프포인트,5.0,넷플릭스·웨이브 이용 시 위메프포인트,5.0,"위메프 2%, 위메프오",1.0
우리 햇살론카드,이동통신 업종 모아포인트,3.0,대중교통 업종 모아포인트,3.0,커피 업종 모아포인트,3.0,영화 업종 모아포인트,3.0,특별 적립백화점 업종 모아포인트 1% 적립할인점 업종 모아포인트 1% 적립온라인쇼핑 업종 모아포인트,1.0,주유업종 모아포인트,1.0,,,이동통신 업종 모아포인트,3.0
현대백화점 해피포인트카드,가맹점에서 1천원이상 구매시,5.0,,,,,,,,,,,,,가맹점에서 1천원이상 구매시,5.0
KB국민 레고랜드 매니아카드,레고랜드 코리아 이용권 30% 할인 레고랜드 리조트,30.0,레고 코리아 공식온라인몰 10% 할인완구점 업종 10% 할인 신세계백화점 등 백화점,10.0,이마트 등 대형마트,10.0,배달의민족 등 배달앱,10.0,넷플릭스 등 구독 서비스,20.0,KB Pay 결제,10.0,해외 가맹점 이용,10.0,레고랜드 코리아 이용권 30% 할인 레고랜드 리조트,30.0
NH농협 SOHO 다사로이+카드,4대사회보험·전기요금,5.0,스타벅스,30.0,"넷플릭스, 멜론",30.0,,,,,,,,,4대사회보험·전기요금,5.0
현대백화점 현대오일뱅크카드,,,,,,,,,,,,,,,,
